,Role,08/23/2018 - 08/22/2019,08/23/2019 - 08/22/2020,08/23/2020 - 08/22/2021,08/23/2021 - 08/22/2022,08/23/2022 - 08/22/2023,Education,Functional Responsibility,Years of Experience,Company,socio_economic
39,Program Manager 1,157.2,160.34,163.55,167.31,170.66,Bachelor's,"This position is responsible for managing at the program level, encompassing the accumulated status of individual project/task order within the program. Program Manager plans, coordinates and manages all aspects of complex information technology programs. Prepares and presents status on program schedules, program costs, program deliverables, program risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Program Manager responsibilities include, but are not limited to, effective management of funds and personnel, and is accountable for the quality and timely delivery of all contractual items; operating within client guidance, contractual limitations, and Company business and policy directives; serving as focal point-of-contact with client regarding program activities; ensuring that all required resources including manpower, production standards, computer time, and facilities are available for program implementation; managing program consisting of multiple projects including project identification, design, development, and delivery; maintaining the development and execution of business opportunities based on broad, general guidance; conferring with project manager to provide technical advice and to assist with problem resolution; and marketing new technology and follow-on business acquisitions.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
40,Program Manager 2,203.76,207.83,211.99,216.86,221.2,Bachelor's,"This position is responsible for managing at the program level, encompassing the accumulated status of individual project/task order within the program. Program Manager plans, coordinates and manages all aspects of complex information technology programs. Prepares and presents status on program schedules, program costs, program deliverables, program risks, and risk containment strategies. Experience of progressive accomplishment managing and implementing large, complex information technology systems. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Program Manager responsibilities include, but are not limited to, effective management of funds and personnel, and is accountable for the quality and timely delivery of all contractual items; operating within client guidance, contractual limitations, and Company business and policy directives; serving as focal point-of-contact with client regarding program activities; ensuring that all required resources including manpower, production standards, computer time, and facilities are available for program implementation; managing program consisting of multiple projects including project identification, design, development, and delivery; maintaining the development and execution of business opportunities based on broad, general guidance; conferring with project manager to provide technical advice and to assist with problem resolution; and marketing new technology and follow-on business acquisitions.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
41,Program Manager 3,217.65,222.01,226.45,231.65,236.29,Bachelor's,"A Program Manager is the most senior position within the Citizant Consultant Ladder. This individual has broad management authority over very large projects and initiatives, which potentially span multiple accounts or customers. Typically, the Program Manager defines and directs projects at the highest level and is responsible for the long-term success of programmatic initiatives as defined by the senior management team of Citizant. A Program Manager has authority to manage program budgets, direct recruiting efforts and perform career planning and employee actions. A Program Manager is an expert in project management tools and methods.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
42,Project Manager 1,104.99,107.09,109.23,111.74,113.98,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
43,Project Manager 2,138.24,141.0,143.82,147.13,150.07,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
44,Project Manager 3,185.84,189.56,193.35,197.8,201.75,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
45,Project Manager 4,188.24,192.01,195.85,200.35,204.36,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
46,Project Manager 5,190.45,194.25,198.14,202.7,206.75,Bachelor's,"A Project Manager possesses significant business, systems analysis and development experience, and brings this to bear by providing management and executive level services beyond software engineering methodologies and specific development technologies. A Project Manager has experience in planning and managing full life cycle development using a software engineering methodology, preparing and presenting executive briefings, and creating innovative yet practical solutions. Project Manager duties include directing work of consultants on large application development programs, which could include multiple large projects; scoping and planning of Application development projects; providing consulting and/or periodic project reviews; conducting training classes on all phases of software engineering methodologies and the implementation of software engineering methodologies. A Project Manager is an industry recognized expert in at least one area of a software engineering methodology and associated Technical Discipline.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
47,QA/CM/Test & Evaluation Specialist 1,105.06,107.16,109.3,111.81,114.05,Bachelor's,"Provides technical and administrative support for personnel performing software development tasks, including the review of work products for correctness, adherence to design concepts and to user standards, review of program documentation to assure government standards/requirements are adhered to, configuration management for all hardware and software, and for progress in accordance with schedules. Coordinates with the Program Manager and/or Quality Assurance/Configuration Manager to ensure problem resolution and user satisfaction. Makes recommendations, if needed, for approval of systems installations. Prepares milestone status reports and deliveries/presentations on the system concept to colleagues, end user representatives. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Experience with several architectures and platforms in an integrated environment. Significant knowledge of the field and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
48,QA/CM/Test & Evaluation Specialist 2,129.53,132.12,134.76,137.86,140.62,Bachelor's,"Develops, implements, and maintains quality assurance/configuration management programs in support of a variety of software, hardware, and services. Establishes standards for life cycle, documentation, development methods, testing, and maintenance. Develops and defines major and minor characteristics of quality/configuration management (including metrics and scoring parameters) and determines requisite quality control/configuration management resources for an actual task order. Conducts or participates in formal and informal reviews at predetermined points throughout the system life cycle. Serves as liaison between Program Management and other functional groups to resolve issues regarding quality assurance/configuration management. Reviews and evaluates software products and services for adherence to government directives, standards, and guidelines. May provide task direction and guidance to less experienced team members. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Generally regarded as an expert in their particular discipline or technology.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
49,QA/CM/Test & Evaluation Specialist 3,150.53,153.54,156.61,160.22,163.42,Bachelor's,"Develops, implements, and maintains quality assurance/configuration management programs in support of a variety of software, hardware, and services. Establishes standards for life cycle, documentation, development methods, testing, and maintenance. Develops and defines major and minor characteristics of quality/configuration management (including metrics and scoring parameters) and determines requisite quality control/configuration management resources for an actual task order. Conducts or participates in formal and informal reviews at predetermined points throughout the system life cycle. Serves as liaison between Program Management and other functional groups to resolve issues regarding quality assurance/configuration management. Reviews and evaluates software products and services for adherence to government directives, standards, and guidelines. May provide daily supervision and direction to support staff. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Generally regarded as an expert in their particular discipline or technology. Experience with several architectures and platforms in an integrated environment. Provides supervision and direction to staff.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
50,Security Analyst 1,203.2,207.26,211.4,216.27,220.59,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses which also includes risk assessment.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
51,Security Analyst 2,220.12,224.52,229.01,234.28,238.96,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses that also includes risk assessment.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
52,Security Analyst 3,253.98,259.06,264.24,270.32,275.72,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses that also includes risk assessment.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
53,Security Architect 1,296.31,302.24,308.28,315.37,321.68,Bachelor's,"Analyzes and defines security requirements. Designs, develops, engineers and implements solutions to computer security requirements. Gathers and organizes technical information about an organization’s mission goals and needs, existing security products and ongoing programs in the computer security arena. Performs risk analyses which also includes risk assessment. Provides supervision and direction to staff.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
54,Senior Systems Developer,154.16,157.25,160.39,164.08,167.36,Bachelor's,"Senior Systems Developer duties may include directing work of Systems Developers on large application development projects; scoping and planning of application development projects; providing consulting and/or periodic project reviews; conducting training classes on all phases of software engineering methodologies and the implementation of software engineering; is an expert in at least one area of a software engineering methodology. A Senior Systems Developer analyzes information requirements and evaluates analytically and systematically problems of workflow, organization, and planning and develops appropriate corrective action. A Senior Systems Developer develops and applies organization-wide information models for designing and building integrated shared software and database management systems.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
55,Software Engineer 1,126.98,129.52,132.11,135.15,137.85,Associate's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
56,Software Engineer 2,147.31,150.26,153.26,156.79,159.93,Associate's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment. The Software Engineer 2 maintains a broad knowledge of software engineering and a demonstrated ability to independently work on complex assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
57,Software Engineer 3,165.14,168.44,171.81,175.76,179.28,Bachelor's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment. The Software Engineer 3 maintains a deep understanding of architecture, techniques and management processes across a broad spectrum of systems, applications and requirements.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
58,Software Engineer 4,189.64,193.43,197.3,201.83,205.87,Bachelor's,"Performs system capabilities analysis, installs, tests, and validates operational automation and communications software as specified by installation standards, manufacturer's guidance, and licensing terms. Scope of responsibility includes analysis, design, development, testing, and debugging of computer software in support of distinct product hardware (computer or other electrical/electronic device) or technical (computer) service line(s) or business. Activities range from operating system architecture, through integration and software design, to selection of computer systems, languages, and equipment. The Software Engineer 4 is an expert in large and complex information technology systems implementation. Expertise is applied across multiple information technology platforms and the integration of diverse architectures.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
59,Strategic Planning Analyst 1,125.63,128.14,130.7,133.71,136.38,Bachelor's,"Participates in the creation of an appropriate information technology strategy or plan. Applies process improvement and reengineering methodologies and principles to process modernization projects. Provides group facilitation, interviewing, and training. Assists more experienced business process engineers in coordinating between multiple project teams to ensure enterprise-wide integration of reengineering efforts. Assignments are generally of limited scope and reviewed by more experienced analysts. (May include specific knowledge of paperless environment and electronic document management systems.)",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
60,Strategic Planning Analyst 2,163.65,166.92,170.26,174.18,177.66,Bachelor's,"Confers with client management to understand the client's strategic goals and participates in the creation of an appropriate information technology strategy or plan. Applies process improvement and reengineering methodologies and principles to process modernization projects. Provides group facilitation, interviewing, and training. Assists more experienced business process engineers in coordinating multiple project teams to ensure enterprise-wide integration of reengineering efforts. (May include specific knowledge of paperless environment and electronic document management systems.)",3,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
61,Strategic Planning Analyst 3,197.43,201.37,205.4,210.13,214.33,Bachelor's,"Confers with client management to understand the client's strategic goals and participates in the creation of an appropriate information technology strategy or plan. Applies process improvement and reengineering methodologies and principles to process modernization projects. Provides group facilitation, interviewing, and training. Assists more experienced business process engineers in coordinating multiple project teams to ensure enterprise-wide integration of reengineering efforts. (May include specific knowledge of paperless environment and electronic document management systems.) Provides supervision and direction to staff.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
62,Systems & Help Desk Administrator 1,83.51,85.18,86.88,88.88,90.66,Bachelor's,"Systems Developer duties include providing project consulting and support; conducting training classes on all phases of software engineering methodologies and the subsequent implementation of the related systems; with a specialization in at least one area of the development life cycle. Systems Developers are capable of leading project teams through all stages of development. A Systems Developer manages software development and support using formal specifications, data flow diagrams, other accepted design techniques, and/or Computer-Aided Software Engineering (CASE) tool software. A Systems Developer analyzes and studies complex system requirements, designs specifications to code, and integrates and tests software components. A Systems Developer designs software tools and subsystems to support software reuse and domain analyses, and manages their implementation. Systems Developers review existing programs and assist in making refinements, reducing operating time, and improving current techniques. Systems Developers manage software development and supervise software configuration management.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
63,Systems & Help Desk Administrator 2,107.15,109.29,111.48,114.04,116.33,Bachelor's,"Provides expertise in the areas of system design, systems engineering techniques and systems management processes. Analyzes and recommends commercially available hardware capable of meeting system requirements. Systems engineers generally are involved in project tasks that apply to specialized technology problems versus distinct service or product line (e.g., signal processing, navigation and guidance, communications). Assignments involve integration of electronic processes or methodologies to resolve total system problems or applications. Processes may range from simple electromechanical to sophisticated use of computer or other electronic technology and equipment.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
64,Systems & Help Desk Administrator 3,125.7,128.22,130.78,133.79,136.47,Bachelor's,"Provides expertise in the areas of system design, systems engineering techniques and systems management processes. Analyzes and recommends commercially available hardware capable of meeting system requirements. Systems engineers generally are involved in project tasks that apply to specialized technology problems versus distinct service or product line (e.g., signal processing, navigation and guidance, communications). Assignments involve integration of electronic processes or methodologies to resolve total system problems or applications. Processes may range from simple electromechanical to sophisticated use of computer or other electronic technology and equipment. The Systems Engineer 2 maintains a broad knowledge of the labor category field and a demonstrated ability to independently work on complex assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
65,Systems Developer,144.65,147.55,150.5,153.96,157.04,Bachelor's,"Provides expertise in the areas of system design, systems engineering techniques and systems management processes. Analyzes and recommends commercially available hardware capable of meeting system requirements. Systems engineers generally are involved in project tasks that apply to specialized technology problems versus distinct service or product line (e.g., signal processing, navigation and guidance, communications). Assignments involve integration of electronic processes or methodologies to resolve total system problems or applications. Processes may range from simple electromechanical to sophisticated use of computer or other electronic technology and equipment. The Systems Engineer 3 maintains a deep understanding of architecture, techniques and management processes across a broad spectrum of systems, applications and requirements.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
66,Systems Engineer 1,106.67,108.8,110.97,113.53,115.8,Bachelor's,"Provides expertise in the areas of system design, systems engineering techniques and systems management processes. Analyzes and recommends commercially available hardware capable of meeting system requirements. Systems engineers generally are involved in project tasks that apply to specialized technology problems versus distinct service or product line (e.g., signal processing, navigation and guidance, communications). Assignments involve integration of electronic processes or methodologies to resolve total system problems or applications. Processes may range from simple electromechanical to sophisticated use of computer or other electronic technology and equipment. The senior systems engineer is an expert in large and complex information technology systems implementation and directs other system engineers. Expertise is applied across multiple information technology platforms and the integration of diverse architectures.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
67,Systems Engineer 2,134.79,137.49,140.24,143.46,146.33,Bachelor's,"Serves as the initial point-of-contact for troubleshooting hardware/software, PC, and printer problems. Under general supervision, provides phone and in-person support to users in the areas of e-mail, directories, standard Windows desktop applications, and applications developed under this contract or predecessors. Demonstrated ability to communicate orally and in writing and a positive customer service attitude.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
68,Systems Engineer 3,165.94,169.26,172.64,176.62,180.15,Bachelor's,"Serves as the initial point-of-contact for troubleshooting hardware/software, PC, and printer problems. Provides phone and in- person support to users in the areas of e-mail, directories, standard Windows desktop applications, and applications developed under this contract or predecessors. Demonstrated ability to communicate orally and in writing and a positive customer service attitude.",3,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
69,Systems Engineer 4,181.12,184.74,188.44,192.77,196.63,Bachelor's,"Manages the help desk function and personnel. Provides daily supervision and direction to staff who are responsible for phone and in-person support to users in the areas of e-mail, directories, standard Windows desktop applications, and applications developed or deployed under this contract. The personnel serve as the first point-of-contact for troubleshooting hardware/software, PC, and printer problems.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
70,Technical Writer 1,93.13,94.99,96.89,99.12,101.1,Bachelor's,"Assists in collecting and organizing information required for preparation of user's manuals, training materials, installation guides, proposals, and other reports and deliverables. A Technical Writer edits functional descriptions, system specifications, user's manuals, special reports, or any other customer deliverables and documents.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
71,Technical Writer 2,121.92,124.36,126.85,129.76,132.36,Bachelor's,"Edits functional descriptions, system specifications, user's manuals, special reports, or any other customer deliverables and documents. A Technical Writer edits functional descriptions, system specifications, user's manuals, special reports, or any other customer deliverables and documents. Significant knowledge and experience in technical writing and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
72,Technical Writer 3,143.9,146.78,149.71,153.16,156.22,Bachelor's,"Edits functional descriptions, system specifications, user's manuals, special reports, or any other customer deliverables and documents. Collects and organizes information required for preparation of user's manuals, training materials, installation guides, proposals, and other reports and deliverables. Significant knowledge and experience in technical writing and the ability to lead/direct a team of technical writers on typical assignments.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
73,Training Specialist 1,93.13,94.99,96.89,99.12,101.1,Bachelor's,"Under supervision, develops training plans and the associated curricula. Identifies the resources necessary to implement the plan and ensures that training is conducted in accordance with the plan. Identifies and analyzes training considerations such as central vs. regional, hands-on vs. classroom, train-the-trainer vs. train-the-user, etc. Experience with several architectures and platforms in an integrated environment. Significant knowledge of the field and the ability to work independently on typical assignments.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
74,Training Specialist 2,111.6,113.84,116.11,118.78,121.16,Bachelor's,"Develops training plans and the associated curricula. Identifies the resources necessary to implement the plan and ensures that training is conducted in accordance with the plan. Identifies and analyzes training considerations such as central vs. regional, hands-on vs. classroom, train-the-trainer vs. train-the-user, etc. Experience with several architectures and platforms in an integrated environment. Significant knowledge of the field and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
75,Training Specialist 3,132.49,135.14,137.84,141.01,143.83,Bachelor's,"Has overall responsibility for conducting customized training classes. Develops training plans and the associated curricula. Identifies the resources necessary to implement the plan and ensures that training is conducted in accordance with the plan. Identifies and analyzes training considerations such as central vs. regional, hands-on vs. classroom, train-the-trainer vs. train- the-user, etc. Generally regarded as an expert in their particular discipline or technology.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
76,Training Specialist 4,152.38,155.43,158.54,162.18,165.43,Bachelor's,"Has overall responsibility for conducting customized training classes. Develops training plans and the associated curricula. Identifies the resources necessary to implement the plan and ensures that training is conducted in accordance with the plan. Identifies and analyzes training considerations such as central vs. regional, hands-on vs. classroom, train-the-trainer vs. train- the-user, etc. Generally regarded as an expert in their particular discipline or technology. Experience with several architectures and platforms in an integrated environment. Leads/manages team training efforts.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
77,Web Architect,321.7,328.14,334.7,342.4,349.25,Bachelor's,"Designs architectures that include software, hardware, and communications solutions to support total requirements, as well as provide for present and future cross-functional requirements and interfaces. Ensures architectures are in compliance with open systems standards as they apply to the client's environment. Evaluates compatibility of information system development efforts with agency architectures and recommends adjustments, as appropriate. Evaluates problems of workflow, organization, and planning and develops appropriate corrective action.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
78,Web Developer 1,167.6,170.96,174.38,178.39,181.95,Bachelor's,"Performs system analysis and design techniques for Internet or Intranet development, which may include HyperText Markup Language (HTML), HyperText Transfer Protocol (HTTP), and Common Gateway Interface (CGI). Analyzes and develops Internet/Intranet application software processing wide range of capabilities, including numerous engineering, business, and network traffic management functions. Works independently or under general direction.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
79,Web Developer 2,189.64,193.43,197.3,201.83,205.87,Bachelor's,"Performs system analysis and design techniques for Internet or Intranet development and distribution to remote sites using various technologies, which may include HyperText Markup Language (HTML), HyperText Transfer Protocol (HTTP), Common Gateway Interface (CGI), FrontPage, and Netscape software. Develops and applies organization-wide information models for use in designing and building integrated, shared software, and database management systems. Constructs sound, logical business improvement opportunities consistent with corporate Information Management guiding principles, cost savings, and open system architecture objectives. Provides daily supervision and direction to junior staff.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
80,Web Developer 3,206.57,210.7,214.91,219.85,224.25,Bachelor's,"Performs an enterprise-wide set of disciplines for planning, analysis, design, and construction of information systems on an enterprise-wide basis or across a major sector of the enterprise. Develops analytical and computational techniques and methodology for problem solutions. Establishes system information requirements, using analysis of the information exchange technologies, in the development of enterprise-wide or large-scale information systems. Designs architecture to include the software, hardware, and communications to support the total requirements as well as provide for present and future cross- functional requirements and interfaces. Ensures these systems are compatible and in compliance with the standards for open systems architectures, the Open Systems Interconnection (OSI), and International Standards Organization (ISO) reference models, and profiles of standard such as: Institute of Electrical and Electronic Engineers (IEEE), Open Systems Environment (OSE) reference model, and across the application program interface (API). Provides daily supervision and direction to staff.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
