Subject Matter Expert IV, 242.59
Subject Matter Expert III, 216.84
Subject Matter Expert II, 195.24
Subject Matter Expert I, 183.11
Project Manager III, 166.09
Project Manager II, 135.61
Project Manager I, 127.43
Business Systems Consultant III, 166.09
Business Systems Consultant II, 145.90
Business Systems Consultant I, 137.72
Business Systems Analyst IV, 124.15
Business Systems Analyst III, 113.85
Business Systems Analyst II, 75.75
Business Systems Analyst I, 65.77
Software/IS Specialist V, 158.73
Software/IS Specialist IV, 141.82
Software/IS Specialist III, 123.39
Software/IS Specialist II, 88.11
Software/IS Specialist I, 72.66
Database Specialist IV, 160.90
Database Specialist III, 138.64
Database Specialist II, 121.94
Database Specialist I, 104.56
Networking Specialist III, 120.29
Networking Specialist II, 110.29
Networking Specialist I, 94.48
Technical Writer III, 99.64
Technical Writer II, 87.17
Technical Writer I, 75.04
Security/IA Specialist III, 137.39
Security/IA Specialist II, 117.25
Security/IA Specialist I, 114.15
Help Desk & Support Specialist IV, 60.30
Help Desk & Support Specialist III, 52.06
Help Desk & Support Specialist II, 49.38
Help Desk & Support Specialist I, 43.83
Data Entry I, 40.74
Computer Graphics Specialist, 70.09