,Role,"As of June 26, 2015",Education,Functional Responsibility,Years of Experience,Company,socio_economic
0,Subject Matter Expert IV,242.59,PhD,"Provides executive-level technical, managerial, and administrative direction for problem definition, analysis, requirements development, and implementation for complex to extremely complex systems in the subject matter area. Makes recommendations and advises on organization-wide system improvements, optimization or maintenance efforts in the following specialties: information systems architecture, networking, telecommunications, automation, communications protocols, risk management/electronic analysis, software lifecycle management, software development methodologies, and modeling and simulation.",20+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
1,Subject Matter Expert III,216.84,Master's,"Defines the problems and analyzes and develops plans and requirements in the subject matter area for moderately complex to complex systems. Coordinates and manages the preparation of analysis, evaluations, and recommendations for proper implementation of programs and systems specifications in the following specialties: information systems architecture, networking, telecommunications, automation, communications protocols, risk management/electronic analysis, software lifecycle management, software development methodologies, and modeling and simulation.",15-19,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
2,Subject Matter Expert II,195.24,Bachelor's,"Develops requirements from a project's inception to its conclusion in the subject matter area for simple to moderately complex systems. Assists other senior consultants with analysis and evaluation, and with the preparation of recommendations for system improvements, optimization, development, and/or maintenance efforts in the following specialties: information systems architecture, networking, telecommunications, automation, communications protocols, risk management/electronic analysis, software lifecycle management, software development methodologies, and modeling and simulation.",8-14,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
3,Subject Matter Expert I,183.11,Bachelor's,"Serves as a junior-level subject matter technical expert in areas relating to management services, information technology services, and other subject areas. Provides guidance to the technical staff on technology innovations, knowledge/procedures/processes/policies reflecting detailed knowledge of functional areas included in contract.",2-7,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
4,Project Manager III,166.09,Bachelor's,"Responsible for large, complex task orders (or a group of task orders affecting the same common/standard/migration system) and shall work with the Government Contracting Officer's Representative (COR), the task order level COR(s), government management personnel and customer agency representatives. Responsible for the overall management of the specific task order(s) and ensuring that the technical solutions and schedules in the task order are implemented in a timely manner. Performs enterprise-wide horizontal integration planning and interfaces to other functional systems. Directs completion of tasks within estimated time frames and budget constraints. Schedules and assigns duties to subordinates and subcontractors and ensures assignments are completed as directed. Enforces work standards and reviews/resolves work discrepancies to ensure compliance with contract requirements. Reports in writing and orally to contractor management and Government representatives. Provides competent leadership and responsible program direction through successful performance of a variety of detailed, diverse elements of project transitioning. Plans and directs technological improvements and project management implementation. Manages a diverse group of functional activities, subordinate groups of technical and administrative personnel. Provides business, technical, and personnel management across multiple projects, such as engineering studies, computer applications, and systems development. ",12+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
5,Project Manager II,135.61,Bachelor's,"Serves as the contractor’s contract manager and shall be the contractor’s authorized interface with the Government Contracting Officer (CO), the Contracting Officer’s Representative (COR), government management personnel and customer agency representatives. Responsible for formulating and enforcing work standards, assigning contractor schedules, reviewing work discrepancies, supervising contractor personnel and communicating policies, purposes, and goals of the organization to subordinates. Shall be responsible for the overall contract performance and shall not serve in any other capacity. Ability to manage and ensure the successful completion of multiple technical tasks in assigned program(s).",8-11,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
6,Project Manager I,127.43,Bachelor's,"Responsible for planning and executing a project. Prepares and maintains the project schedule and budget. Prepares and delivers status reports to the customer. Primary point of contact for the customer. Oversees all work and takes corrective action as necessary to ensure project success. Manages staffing, budget, prioritization, and other personnel matters. May serve as technical lead for the project.",4-7,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
7,Business Systems Consultant III,166.09,Bachelor's,"Serves in a leadership or senior advisory role to the client in a specific area of functional or technical expertise to make recommendations that have an enterprise-wide impact in areas such as strategy, architecture, evaluation and selection of alternative approaches, implementation issues, and business process improvement. Includes the development of white papers, strategic planning documents, trade-off analyses, gap analyses, ROI justifications, study recommendations, concept of operations, enterprise architecture, and other documents.",10+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
8,Business Systems Consultant II,145.9,Bachelor's,"Applies a business-wide set of disciplines for the planning, analysis, design and construction of information systems on a business-wide basis or across a major sector of the business. Performs business strategic systems planning, information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools such as Integrated Computer Aided Software Engineering (I-CASE) tools. Applies reverse engineering and reengineering disciplines to develop migration of strategic and planning documents. Provides technical guidance in software engineering techniques and automated support tools.",6-9,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
9,Business Systems Consultant I,137.72,HS,Business Systems Consultants are experts in emerging information technologies and innovation; business; healthcare; government; business management; financial management; systems management; operations research; computer science; engineering; physics; math; behavioral science or related areas. Assists in developing programs and implementing creative and innovative solutions to the customer's problems. Researches and analyzes customer requirements. Applies expert knowledge to determine accuracy and reasonableness of data. Documents and summarizes the results of research; develops and recommends creative and innovative solutions to the customer's problems.,3-5,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
10,Business Systems Analyst IV,124.15,Bachelor's,"Provides technical and administrative direction for personnel performing software development tasks, including the review of work products for correctness, adherence to the design concept and to user standards, and progress in accordance with schedules. Coordinates with the Project Manager to ensure solutions for problems and user satisfaction. Makes recommendations, if needed, for approval of major systems installations. Prepares milestone status reports and deliveries and presentations on the system concept to colleagues, subordinates, and end user representatives. Provides daily supervision and direction to support staff.",10+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
11,Business Systems Analyst III,113.85,Bachelor's,"Analyzes and evaluates user needs and identifies resources required for each task to determine functional requirements; conceptualizes, develops, and implements complex systems designed to meet client requirements; defines systems objectives and prepares system design specifications to meet requirements; designs, develops, implements, and tests new systems or modifies existing systems that meet the user’s needs; codes applications and tests to software requirements; writes or updates software specifications; analyzes procedures and systems to refine their formulation and convert to programmable formats; analyzes data requirements to determine data source and destinations; coordinates with client to define problem, determine data availability, report requirements, and resolve system design problems; creates logical data models based on functional requirements; performs quality review of specifications for internal and external delivery; troubleshoots and provides technical support and solutions to users; develops analytical tools for use in the design and redesign of programs as assigned; may serve as a technical team or task lead.",6-9,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
12,Business Systems Analyst II,75.75,Bachelor's,"Responsible for identifying and documenting all specific functional requirements associated with implementing the application. Develops a comprehensive functional description of current and future system and process requirements through structured interviews, focus groups, documentation review and other data gathering techniques. Interfaces with technical personnel to identify specific system requirements and risks. Works directly with agency/organization functional staff members to identify specific application views and data requirements to ensure that the final system incorporates required functionality.",3-5,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
13,Business Systems Analyst I,65.77,HS,"Analyzes user needs and identifies resources required for each task to determine functional requirements; codes applications and tests to software requirements; assists in design and development of new systems or modifies existing systems that meet the user’s needs; assists higher-level analysts in analyzing alternative systems, cost aspects and feasibility factors; writes or updates software specifications; records all inputs and outputs of systems, including file sizes, data bank requirements, variability of information and appropriate statistical measures such as frequency, volume, peaking, etc; prepares appropriate documentation for new or existing systems; troubleshoots and provides technical support and solutions to users.",0-2,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
14,Software/IS Specialist V,158.73,Bachelor's,"Guides all phases of software development, including system design, analysis, architecture, and engineering; plans and directs the development of major programming projects and the installation of systems; programs, designs, analyzes, codes, implements, and tests software applications, modules, and databases in various languages, including those associated with scientific, technical, or engineering problems; performs process analyses in order to recommend improvements; performs system, network, and/or database administration, analysis, design, implementation, and testing; analyzes and documents client needs and requirements; provides technical support including providing technical solutions and training; writes, modifies, and maintains software documentation and specifications; performs a variety of testing for computer operating and/or network systems; performs data and technical analysis and information engineering; installs, configures, and troubleshoots various hardware and software platforms; may design and develop computer-based and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; participates in meetings and design reviews; prepares reports on analyses, findings, and project progress; may supervise and direct the work of lower-level analysts; performs technical research on emerging technologies to determine impacts on application execution.",10+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
15,Software/IS Specialist IV,141.82,Bachelor's,"Works independently designing and developing new software products or major enhancements to existing software. May lead a large development team in the design of highly complex presentation architecture. Responsible for project completion. Performs feasibility analysis on potential future web projects, and reports findings to management. Researches, designs, and develops computer software systems, in conjunction with hardware product development, applying principles and techniques of computer science, engineering, and mathematical analysis. Analyzes software requirements to determine the feasibility of a design within requirement constraints. Consults with hardware engineers and other engineering staff members to evaluate interfaces between hardware and software and operational and performance requirements of the overall system. Formulates and designs software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design. Develops and directs software system testing, programming, and documentation. Consults with customers concerning maintenance of software system. Performs object oriented analysis, object oriented design and object oriented programming to develop computer systems. Develops cost proposals and project status reports. Develops documentation describing program design, program maintenance, and testing.",7-9,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
16,Software/IS Specialist III,123.39,Bachelor's,"Participates in the design, development, analysis, and implementation of software operating systems and software application programs; works under general supervision; performs software operating systems and application engineering, including full life cycle design and development; works from specifications to develop and modify operating systems and software applications; participates in the design, coding, testing, debugging, and documentation of programs; participates in the definition of limited design specifications and parameters; assists engineers or analysts with the hardware/software integration of the application or utility into software operating systems; analyzes system architecture requirements; performs requirements acquisition and definition and data analysis; may customize purchased applications; performs technical and subject matter research on emerging technologies to determine impacts on application execution; analyzes and documents client needs and requirements; participates in writing, modifying, and maintaining technical documentation and specifications such as user manuals, system documentation, and training materials; performs integration testing and support of various computer operating and/or network systems; troubleshoots and provides customer support for software operating system and application issues; maintains current knowledge of relevant hardware and software applications as assigned; participates in special projects as required.",4-6,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
17,Software/IS Specialist II,88.11,Bachelor's,"Designs and develops new software products or major enhancements to existing software. May lead a development team in the design of moderately complex presentation architecture. Performs feasibility analysis on potential future web projects to management. Implements, upgrades and maintains web sites on the Internet and Intranets. Maintains and monitors web site communication links. Monitors, analyzes and recommends strategies relevant to traffic on the web site. Ensures that firewall mechanisms, virus protection and other security mechanisms operate effectively. Performs in all phases of Internet and Intranet site implementation and connection. Researches, designs, and develops computer software systems, in conjunction with hardware product development, applying principles and techniques of computer science, engineering, and mathematical analysis. Formulates and designs software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design. Develops and directs software system testing, programming, and documentation. Consults with customers concerning maintenance of software system. Performs object oriented analysis, object oriented design and object oriented programming to develop computer systems. Develops cost proposals and project status reports. Develops documentation describing program design, program maintenance, and testing. Writes user manuals and operator manuals.",2-3,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
18,Software/IS Specialist I,72.66,Bachelor's,"Assists in the design, development, analysis, and implementation of software operating systems and software application programs; works under general supervision; does related work as required. Works from specifications to develop and modify operating systems and software applications; participates in the design, coding, testing, debugging, and documentation of programs; assists in the definition of limited design specifications and parameters; assists engineers or analysts with the hardware/software integration of the application or utility into software operating systems; assists in the analysis of system architecture requirements; may customize purchased applications; participates in the research of emerging technologies to determine impacts on application execution; analyzes and documents client needs and requirements; assists with writing, modifying, and maintaining technical documentation and specifications such as user manuals, system documentation, and training materials; performs integration testing and support of various computer operating and/or network systems; troubleshoots and provides customer support for software operating system and application issues; maintains current knowledge of relevant hardware and software applications as assigned.",0-2,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
19,Database Specialist IV,160.9,Master's,"Manages the development of database projects. Plans and budgets staff and database resources. When necessary, reallocates resources to maximize benefits. Prepares and delivers presentations on Database Management Systems (DBMS) concepts. Provides daily supervision and direction to support staff",10+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
20,Database Specialist III,138.64,Bachelor's,"Provides highly technical expertise and guidance in the design, implementation, operation and maintenance of database management systems (DBMS). Evaluates and recommends available DBMS products after matching requirements with system capabilities. Determines file organization, indexing methods, and security procedures for specific applications. Controls the design and use of databases. Controls the global view of databases, controls access to the databases, assures safekeeping of the databases (from accidental or intentional damage or loss), and monitors the use of databases. Must be capable of defining all required database administration policies, procedures, standards, and guidelines. Acts as an authority on the design of databases and the use of database management systems. Evaluates and recommends available DBMS products after matching requirements with system capabilities. Prepares and delivers presentations on DBMS concepts.",7-9,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
21,Database Specialist II,121.94,Bachelor's,"Designs, maintains, enhances, and codes relational databases; analyzes and determines information needs and elements, data relationships and attributes, data flow and storage requirements, and data output and reporting capabilities; develops data modeling and is responsible for data acquisition and access analysis and design, and archive, recovery, and load strategy design and implementation; coordinates new data development ensuring consistency and integration with existing data warehouse structure; reviews business requests for data and data usage, researches data sources for new and better data feeds; participates in continuous improvement efforts in enhancing performance and providing increased functionality; designs data structures to accommodate database production, storage, maintenance, and accessibility; develops screens and queries; tests designed applications; may perform upgrades and maintenance of hardware and software; provides technical support and guidance to users; maintains current knowledge of relevant hardware and software applications as assigned; may serve as team or technical task lead and provides guidance, problem solving expertise, and training to lower-level staff; participates in special projects as required.",4-6,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
22,Database Specialist I,104.56,Bachelor's,"The Database Specialist I (Programmer) performs a variety of tasks associated with the design, implementation and operation of database management systems. Uses knowledge gained through experience and information supplied relative to the technical or administrative aspects of the program to perform and/or support system analysis and design activities. Participates in meetings, design reviews, briefings, etc.; identifies and reports on issues or related problems and potential risks; recommends risk mitigation actions. Works independently, under general guidelines set by supervisor, modifies and/or adapts techniques and standard approaches to solve moderately difficult problems encountered. The Programmer also participates in all phases of software development with emphasis on the design, coding, testing, documentation and acceptance phases. Interviews customers to understand requirements.",0-3,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
23,Networking Specialist III,120.29,Bachelor's,"Provides expert level analysis of local and wide area network systems, including planning, designing, evaluating, selecting, and upgrading operating systems and protocol suites, and configuring communication media with concentrators, bridges, and other devices. Resolves interoperability problems to obtain operations across all platforms including email, file transfer, multimedia, teleconferencing, and the like. Configures systems to user requirements; supports the acquisition of hardware and software as well as subcontractor services as needed; directs various testing and the documentation of results; plans network layout design; may administer network security; may perform database administration; may supervise and direct the work of lower level personnel; serves as technical team or task lead.",7+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
24,Networking Specialist II,110.29,Bachelor's,"Analyzes local and wide area network systems, including planning, designing, evaluating, selecting, and upgrading operating systems and protocol suites, and configuring communication media with concentrators, bridges, and other devices; resolves interoperability problems to obtain operations across all platforms including email, file transfer, multimedia, teleconferencing, and the like. Configures systems to user requirements; supports the acquisition of hardware and software as well as subcontractor services as needed; performs various tests and documents results; administers and maintains local and wide area networks; provides technical support and troubleshooting to users; plans network layout design; may administer network security.",4-6,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
25,Networking Specialist I,94.48,Bachelor's,"Performs basic engineering work concerned with the analysis, planning, designing, evaluating, selecting, and upgrading of network systems; performs various tests and documents results; administers and maintains local and wide area networks; provides technical support and troubleshooting to users; configures systems for user environments; assists in telecommunications activities including planning, designing, installing, and maintaining large telecommunications networks; assists in the maintenance and operation of voice, video, and data communications systems; supports the acquisition of hardware and software as well as subcontractor services as needed.",0-3,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
26,Technical Writer III,99.64,Bachelor's,"Directs the collection and organization of information required for preparation of user manuals, training materials, installation guides, proposals, and reports. Edits functional descriptions, system specifications, user manuals, special reports, or any other customer deliverables and documents. Prepares and edits documentation incorporating information provided by the user, specialist, analyst, programmer, and management personnel. Duties include writing, editing, and graphics presentation of technical information for both technical and non-technical personnel, and review of lower-level writers’ output. Interprets technical documentation standards and prepares documentation accordingly.",6+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
27,Technical Writer II,87.17,Associate's,"Assists in collecting and organizing information required for preparation of user manuals, training materials, installation guides, proposals, and reports. Related experience in documentation efforts involving any combination of: systems analysis and design, programming, conversion and implementation support, network services, project management, data/records management, resources and facilities management, database planning and design. Duties include writing, editing, and graphics presentation of technical information for both technical and nontechnical personnel.",3-5,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
28,Technical Writer I,75.04,Associate's,"Responsible for documentation development and preparation throughout the production cycle that can include: technical writing/editing, editorial consultation, copy design/editing, proofreading, or overall documentation review. Checks documents for spelling, grammar, organization, consistency, and content. Ensures that documents follow the appropriate style guide.",0-2,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
29,Security/IA Specialist III,137.39,Master's,"Serves as senior member and/or leader of project teams in providing information security expertise, identifying security risks/vulnerabilities, and making and/or implementing recommendations to minimize and/or prevent security exposures for applications, systems, and networks, having an effect across the entire enterprise. Trains information security analysts on problem resolution and conformance requirements and may develop and conduct courses and/or develop reference manuals. Assists technical support groups in the design and testing of information security products to provide solutions for information security issues and ensure conformance to requirements. Develops/modifies security plans, architectures, policies, and procedures. Senior member of incident response teams.",10+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
30,Security/IA Specialist II,117.25,Bachelor's,"Leads or plays key role on project teams in system consolidation, information security software upgrades, and contingency management planning and execution. Trains information security analysts on problem resolution and conformance requirements by developing and conducting courses and explaining reference manuals. Assists technical support groups in the design and testing of information security products to provide solutions for information security issues and ensure conformance to requirements. Identifies and recommends solutions such as program or system modifications to prevent security exposures.",6-9,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
31,Security/IA Specialist I,114.15,Bachelor's,"Under general direction, analyzes basic customer security requirements and makes recommendations for improvement to information security data bases or platforms. Provides information security support, such as violation reports, PC security policies, and maintenance to customers. Promotes customer information security compliance, according to corporate and local security standards, by verifying data from preexisting audit programs. Investigates information security logging and violation reports and contacts managers as appropriate. Assists in system consolidations, software upgrades and internal information security investigations. Assists contingency management groups in planning and executing disaster recovery procedures.",3-5,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
32,Help Desk & Support Specialist IV,60.3,Bachelor's,"Has overall responsibility for help desk operations associated with the identification, prioritization, and resolution of reported problems. Ensures that all phases of help desk support are properly coordinated, monitored, logged, tracked, and resolved appropriately. May maintain responsibility for development, maintenance and integrity of help desk software.",4+,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
33,Help Desk & Support Specialist III,52.06,Associate's,"Performs installation, configuration, and upgrade of computer hardware and software; provides end-user software troubleshooting and support; applies advanced diagnostic techniques to identify problems, investigate causes, and recommend solutions; provides network troubleshooting and support; may participate in the administration and design of websites; participates in the administration of email systems; provides phone and helpdesk support for local and off-site users; assists lower level technicians with complex problems.",2-3,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
34,Help Desk & Support Specialist II,49.38,Associate's,"Participates in the installation, configuration, and upgrade of computer hardware and software; provides end-user software troubleshooting and support; applies diagnostic techniques to identify problems, investigate causes, and recommend solutions; provides network troubleshooting and support; assists in the administration of email systems; provides phone and help-desk support for local and off-site users.",2-3,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
35,Help Desk & Support Specialist I,43.83,Associate's,"Assists with the installation, configuration, and upgrade of computer hardware and software; provides end-user software troubleshooting and support; applies basic diagnostic techniques to identify problems, investigate causes, and recommend solutions; provides network troubleshooting and support; assists in the administration of email systems; provides phone and help-desk support for local and off-site users. ",0-1,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
36,Data Entry I,40.74,HS,Enters data into pre-defined input screens and databases. Relies on instructions and preestablished guidelines to perform the functions of the job.,0-1,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
37,Computer Graphics Specialist,70.09,HS,"Provides computer graphics design and development support to projects and designs user interface screens. Work is performed using graphic design software, user interface layout, publishing software, and other tools. Items produced include software users’ manuals, software user interfaces and icons.",0-1,Harmonia Software Engineering Solutions,"Small business, Woman Owned business, Women Owned (WOSB), SBA Certified Small Disadvantaged business"
